"last_name, first_name","player_id","year","on_base_plus_slg","xba","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Ramírez, José",608070,2023,"0.831",".299",".182",".359",".375",".316",".338","-0.017","70.5",13,15.6,13.6,40,34.8,"7.2",12,7.7,-7.5,53.1,28.6,"90","18",36.8,38,7,6.3,26.8,31.3,26.5,2.2,40.4,"100.07775","94.35370079"
"Machado, Manny",592518,2023,"0.781",".254",".204",".375",".372",".318",".316",".004","76.7",66.3,19.7,15.6,29.7,23.6,"7.7",9,6.3,-3,50.9,25.3,"91","15",30.2,46,10.5,7.7,19.5,30,28.9,3.2,45.9,"102.375377","95.525381708"
"Díaz, Elias",553869,2023,"0.725",".245",".131",".377",".351",".349",".323",".022","73.6",32.8,14,9.9,27.6,19.6,"7",8,6.1,-3.8,41.9,31,"88.1","12.7",31.2,23,6.2,4.3,28.2,24.7,31.2,4.6,38.4,"100.035107459","94.071648482"
"Bichette, Bo",666182,2023,"0.814",".312",".190",".415",".434",".383",".390","-0.006","70.1",15.9,14.8,11.4,31.1,24,"7.2",6,4.7,4.3,36.5,38.8,"90.2","6.2",38.3,44,9.6,6.1,31.5,14,32.6,5.3,44.9,"101.736681894","95.184330552"
"Lowe, Nathaniel",663993,2023,"0.774",".263",".143",".388",".386",".354",".356","-0.001","74.1",40.1,15.2,12.3,25.2,20.3,"7.4",14,6.4,10.1,44,31.4,"89.8","7.2",36.7,30,6.5,6.3,29.7,19.1,35.8,2.6,41.6,"101.145951991","94.820277484"
"Arcia, Orlando",606115,2023,"0.741",".247",".152",".365",".345",".332",".311",".017","71.1",20.3,14.2,11.3,32.5,25.8,"7.7",9,7.5,-3.8,61,26.8,"88.2","5.4",30.6,27,6.9,4.6,21.9,19.8,41.6,4.4,41.1,"99.189217927","93.735384508"
"Wade Jr., LaMonte",664774,2023,"0.790",".261",".189",".363",".382",".325",".332","-0.005","72.8",26.2,16.1,12.9,34.3,27.6,"7",8,10.7,-6.8,45.1,32.2,"88.4","17.4",33.6,31,9.1,5.8,25.1,28.1,24.3,7.3,39.8,"99.530093174","93.945744444"
"Rosario, Amed",642708,2023,"0.683",".271",".109",".337",".347",".324",".336","-0.008","71.2",15.3,12.1,9.6,31.4,24.9,"7.2",2,4.1,-1.3,37.9,28.8,"88.3","7.6",33.8,14,3.4,5.8,27.8,22,38.2,2.7,39.4,"99.501582705","93.941784576"
"Carroll, Corbin",682998,2023,"0.868",".268",".173",".423",".386",".363",".343",".017","73.2",29.7,14.4,11.2,36.5,28.3,"6.8",12,5.5,1.9,45.9,26.2,"90","11",32.7,34,7.6,7.8,22,22.7,34.2,5.3,40.9,"100.972563211","94.780604736"
"Grisham, Trent",663757,2023,"0.667",".218",".178",".343",".385",".294",".325","-0.020","70.5",8.3,14.3,10.9,32.5,24.7,"7.6",4,17.8,3.2,49.7,32.7,"90.3","18.3",32.8,38,11.9,7.5,20.9,26.9,24.1,8.1,40,"100.701927386","94.880503967"
"Raleigh, Cal",663728,2023,"0.762",".233",".233",".415",".422",".334",".336","-0.001","75",50.1,13.4,9.6,27,19.4,"7.8",6,16.4,-7.5,50.1,31.1,"89.5","20.3",36.5,45,12.6,7,21.1,33.4,23,2.5,41,"101.028271404","94.749354873"
"Acuña Jr., Ronald",660670,2023,"1.012",".357",".303",".450",".493",".386",".411","-0.020","77.3",70.1,25.8,21.6,35.6,29.9,"7.4",11,6.8,5.1,48.9,34.6,"94.7","7.4",33.6,86,15.3,9.1,23.5,14.9,34.3,2.5,55.2,"106.368689571","98.157029125"
